id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
KEPDQ,WG9D,Dining room,4,7,Yes,A person holding a dish with food on it while standing by a table.,dish;food;table,A person is wiping a dish before placing it on the table.,c118 0.00 6.00;c119 2.00 6.00;c009 2.00 6.00;c061 0.00 6.00;c062 2.10 6.00,5.04
KHXGJ,WG9D,Hallway,7,7,Yes,One person runs in and grasps a pillow and stack of clothes from a chair.,chair;clothes;pillow,Person walks over and grabs clothes and a pillow from the chair.,c000 1.30 6.00;c076 0.80 6.00;c079 0.90 6.00;c002 0.90 6.00,4.67
OWENO,ZSRZ,Entryway (A hall that is generally located at the entrance of a house),5,7,Yes,A person smiles at a picture then walks away while holding some dishes.,book;dish;doorway;picture,A person stands in the hallway holding some dishes and looking at a picture.,c088 0.00 7.10;c118 0.00 8.00;c029 0.00 6.10;c097 4.60 8.00;c032 0.00 6.00;c026 0.00 8.00;c152 0.00 6.40,7.17
QQM8M,I4RP,Hallway,6,6,Yes,A person opens the door with one hand on the doorknob and another holding a phone. Another person has some food in the hall.,chair;door;food;hand;phone;shoes,A person is holding a phone and grasps a doorknob and another person with food in their walks with the first person through the door.;A person wearing shoes followed another person into a room.,c141 0.00 3.10;c061 0.00 4.00;c019 0.00 4.00;c008 0.00 4.00;c097 0.00 3.40;c015 0.00 4.00,2.62
TX1HS,I4RP,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,"A person walks into hallway sweeping with broom. They knock a glass off of a laptop, lying on the floor, pouring water out.",broom;coffee;floor;glass;poster;wall,A person is standing in front of the front door sweeping the floor and knocking a glass beneath a poster that is on the wall.;A person is sweeping the entry way when they knock over a cup of coffee with their broom.,c127 0.00 3.70;c102 0.00 4.00,2.79
XTMXQ,WG9D,Other,1,6,Yes,A person is holding a camera then sneezes while standing in the doorway.,camera;doorway;phone,{},c015 0.00 4.00;c153 0.00 4.00,2.92
Y1BRA,WG9D,Hallway,5,7,Yes,A person is standing in the doorway drinking a cup of coffee and smiling.,cup;doorway;glass,"A person is standing in a doorway, drinking coffee from a glass.",c106 0.00 5.00;c107 0.00 5.00,4.04
Y98NJ,WG9D,Living room,5,7,Yes,A person is seen laughing while looking at a picture on their phone. They then close their phone and begin leaving.,camera;phone;picture,"A person looks at a camera, takes a picture and then walks away.;A person is standing and laughing at something on a phone.",c087 0.00 3.00;c149 0.00 3.10;c015 0.00 4.00,2.54
YCST7,WG9D,Kitchen,5,7,Yes,A person opens the pantry door and takes a towel from the cabinet.,cabinet;towel,The person is standing in the kitchen facing a cupboard. The person opens the cupboard and removes a towel.,c113 0.00 4.00;c035 0.70 5.00;c112 1.50 5.00,4.38
87ZB1,3VLX,Bathroom,5,7,Yes,"A person is sitting on the toilet with the lid down working on homework, using their lap as a table and drinking wine and laughing.",dish;glass;homework;notepad;paper;pencil;table;toilet,"Person is sitting on the toilet with paperwork and picks up a glass of wine from table, drinking wine and smiling and laughing.;Person sitting picks up a notepad and pencil, starts writing, then picks up a glass and drinks from it",c145 0.00 22.10;c149 10.40 17.20;c152 10.40 24.00;c106 6.90 14.10;c120 4.80 11.10;c115 0.00 27.00;c118 5.90 27.00,25.5
DWEHS,T7C3,Laundry room,7,7,Yes,"In the laundry room, a person is smiling into a mirror. The person then opens a book and stands in the doorway.",book;doorway;mirror,"Person looking into a mirror, and then, opening a book up and starting to read it.",c093 0.00 16.30;c152 0.00 14.00;c096 0.00 14.00;c029 13.10 21.10;c032 13.30 38.00;c027 13.10 19.70;c026 0.00 38.00,36.75
SN85M,EIO2,Laundry room,7,7,Yes,A person is watching out the door.  Then a person is throwing a box.,box;hair;pillow,A person leans on a hamper and then throws a box through a doorway and walks away.,c045 25.60 30.60;c144 0.00 5.70;c080 25.20 30.60,30.83
X7TIA,HJJ4,Kitchen,5,7,Yes,Person is eating in the doorway. They are laughing and talking on the phone.,apple;doorway;food;phone,The person is holding a phone to their ear and talking into it. The person takes a bite from an apple. The person smiles and seems to laugh.;A person is standing in the kitchen on their cell phone.  They are eating some food while talking and laughing on the phone.,c015 0.00 20.00;c019 0.00 20.00;c156 0.00 20.00;c149 1.90 16.90;c152 2.10 17.10;c061 0.00 20.00,19.29
